Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,hour,weekday,month,hour_sin,hour_cos,weekday_sin,weekday_cos,month_sin,month_cos,Target
1.19e-06,1.21e-06,1.15e-06,1.21e-06,2846699350186.0,3359323.12590356,6301,1550858438686.0,1836105.86509249,6,3,10,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.21e-06
1.2e-06,1.24e-06,1.19e-06,1.21e-06,3471699551540.0,4225597.00840377,6371,1940259925921.0,2364465.81600692,7,3,10,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.23e-06
1.22e-06,1.23e-06,1.18e-06,1.23e-06,3483674411598.0,4210258.60437034,5357,2036143520564.0,2469477.7212687,8,3,10,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.22e-06
1.22e-06,1.23e-06,1.2e-06,1.22e-06,1889927245595.0,2291050.87031871,3797,659075383756.0,802655.25090822,9,3,10,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.18e-06
1.22e-06,1.23e-06,1.17e-06,1.18e-06,3661481301061.0,4373748.2534552,6590,1608527156703.0,1924290.64610354,10,3,10,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.17e-06
1.19e-06,1.2e-06,1.14e-06,1.17e-06,4086152251666.0,4778417.90778866,6631,2133335836444.0,2504672.93068289,11,3,10,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.21e-06
1.17e-06,1.22e-06,1.17e-06,1.21e-06,3397536503129.0,4069893.96942831,5573,1980912288149.0,2379772.45019628,12,3,10,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.18e-06
1.21e-06,1.27e-06,1.18e-06,1.18e-06,7669324344569.0,9468522.54316659,13010,3869029295975.0,4791367.88649439,13,3,10,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.18e-06
1.19e-06,1.2e-06,1.15e-06,1.18e-06,5111285325968.0,6009297.71920059,7392,2727641292721.0,3215637.53879081,14,3,10,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.17e-06
1.18e-06,1.19e-06,1.12e-06,1.17e-06,4834912634231.0,5579630.473164,8447,2288383645720.0,2645379.78289289,15,3,10,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.17e-06
1.16e-06,1.22e-06,1.15e-06,1.17e-06,3481701360478.0,4115686.59760696,6392,1505884846126.0,1788712.10388939,16,3,10,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.23e-06
1.17e-06,1.24e-06,1.17e-06,1.23e-06,3297813739218.0,3980364.33200227,6758,2101150339949.0,2542157.77538095,17,3,10,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.21e-06
1.23e-06,1.24e-06,1.2e-06,1.21e-06,1751999115968.0,2138247.63315102,4111,981129060019.0,1201563.41757767,18,3,10,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.23e-06
1.21e-06,1.24e-06,1.2e-06,1.23e-06,1234972657621.0,1507518.72245749,3014,792391594518.0,969537.15035615,19,3,10,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.34e-06
1.23e-06,1.35e-06,1.22e-06,1.34e-06,7247957233936.0,9487987.37209856,16710,5091563710265.0,6653285.37664897,20,3,10,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.27e-06
1.33e-06,1.36e-06,1.24e-06,1.27e-06,7066917314139.0,9213340.67631784,12844,3812986935597.0,4982297.48476277,21,3,10,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.28e-06
1.26e-06,1.29e-06,1.25e-06,1.28e-06,2334941034319.0,2974544.24189621,4647,1417633065551.0,1808752.60098097,22,3,10,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.29e-06
1.28e-06,1.3e-06,1.25e-06,1.29e-06,2247246080572.0,2874073.50806537,4064,1373671555191.0,1763091.88114488,23,3,10,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.25e-06
1.29e-06,1.29e-06,1.24e-06,1.25e-06,3574770392269.0,4511258.2300268,5014,1837932549017.0,2324279.71707922,0,4,10,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,1.19e-06
1.25e-06,1.27e-06,1.18e-06,1.19e-06,5611590830163.0,6832589.33684559,6402,966170236855.0,1182868.73338463,1,4,10,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,1.21e-06
1.19e-06,1.22e-06,1.17e-06,1.21e-06,3934546958181.0,4704315.9623117,6020,2179205788154.0,2613461.52970054,2,4,10,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,1.21e-06
1.2e-06,1.22e-06,1.19e-06,1.21e-06,1738385351880.0,2094186.47493751,3589,947504865400.0,1143423.4633479,3,4,10,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,1.2e-06
1.2e-06,1.22e-06,1.16e-06,1.2e-06,2242748179130.0,2674350.76658501,4768,829259987427.0,992795.70651947,4,4,10,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,1.2e-06
